fc	zscore	Group	GO_category
-0.616466231	0.431516931255338	Conserved	Other
-0.358705609	-0.69947448881628	Unconserved	Other
-2.031825707	1.21576443295785	Unconserved	Other
0.225660524	-0.338439394517314	Unconserved	Other
0.225660524	-0.338439394517314	Unconserved	Other
0.185918737	-0.133421254360967	Unconserved	Other
-0.354081842	0.384144649827742	Conserved	Other
-1.047498797	0.604318530190009	Unconserved	Other
-2.87944114	2.35990716619689	Unconserved	PS/tetrapyrrole_synthesis
0.398828232	-1.91760256194023	Unconserved	Other
0.2420825	1.3258530794976	Unconserved	Other
0.2420825	1.3258530794976	Unconserved	Other
0.101502343	1.79496488123314	Unconserved	Other
-1.950273392	1.79496488123314	Conserved	PS/tetrapyrrole_synthesis
-0.922538844	0.206881018026334	Unconserved	Other
-0.306171466	-0.978763227456503	Unconserved	Other
-0.272801606	-0.0237569675395872	Unconserved	Other
0.3811865	-0.956311607633033	Unconserved	Other
0.041153439	-0.461095612405335	Unconserved	Other
-1.777197275	0.785324421090234	Conserved	Other
-1.777197275	0.785324421090234	Conserved	Other
0.420253505	-0.189552063346939	Unconserved	Other
-0.690511401	-0.381127238527146	Conserved	Other
-0.738742278	-0.652290886197469	Unconserved	Other
-0.150494936	-1.25320061255998	Unconserved	Other
-1.711845439	1.69073200125132	Conserved	PS/tetrapyrrole_synthesis
-2.612893803	1.91061564256026	Conserved	PS/tetrapyrrole_synthesis
-0.076298547	-1.48962492080271	Unconserved	Other
-2.318973365	1.77267237835848	Conserved	PS/tetrapyrrole_synthesis
-2.59396168	1.04769174590533	Conserved	PS/tetrapyrrole_synthesis
-0.789227536	-1.06909312433158	Unconserved	Other
-0.237253638	-2.20556871456814	Unconserved	Other
0.878206757	0.94148301428206	Unconserved	Other
-0.286804286	0.94148301428206	Unconserved	Other
-0.042918618	-0.95612873873001	Unconserved	Other
-1.539121274	0.258442724455735	Unconserved	Other
-1.757015148	-0.358452111447297	Unconserved	Other
-0.776779832	0.276919393638432	Conserved	Other
-0.838930981	0.774103647976745	Unconserved	Other
-1.00998351	-0.00401381033376354	Unconserved	Other
1.109046105	-1.71219866005069	Conserved	Other
-0.394365913	-0.110283707378383	Unconserved	Other
-0.305554376	-1.78054980527969	Unconserved	Other
-0.296884823	-0.862089777097391	Unconserved	Other
0.037638814	2.22781979131861	Conserved	Other
0.183572475	0.172479800690744	Unconserved	Other
-0.339896307	0.328204552359984	Unconserved	PS/tetrapyrrole_synthesis
-2.272529686	0.338844652872109	Unconserved	Other
0.031549876	-0.417446285403014	Unconserved	Other
-1.809442557	-0.201544382880178	Unconserved	Other
-1.42244723	0.996877190764472	Unconserved	Other
-0.941192214	0.105809670208563	Unconserved	Other
0.373617808	-0.477798874112952	Conserved	Other
-0.212893764	-0.134619088115548	Unconserved	Other
-0.212893764	-0.134619088115548	Unconserved	Other
-0.212893764	-0.134619088115548	Unconserved	Other
-0.576128566	-1.17705639736964	Conserved	Other
-1.824963511	1.81672748931059	Conserved	PS/tetrapyrrole_synthesis
0.237266489	-0.163352585921284	Unconserved	Other
-1.763105117	2.37171856159737	Conserved	PS/tetrapyrrole_synthesis
-1.520672088	0.913720119952483	Unconserved	Other
-0.120279224	-2.15212064335733	Unconserved	Other
-0.497508687	-1.36453698398213	Unconserved	Other
-0.179144177	-0.0803237972906959	Unconserved	Other
-0.847298445	0.33703791555959	Unconserved	Other
-1.134731925	-0.630083957740888	Unconserved	Other
-0.154304476	-0.38890884512046	Unconserved	Other
-0.154304476	-0.38890884512046	Unconserved	Other
-0.482208764	-0.184403185264588	Unconserved	Other
-2.691453208	2.55268276796277	Unconserved	PS/tetrapyrrole_synthesis
0.107542553	-2.16566862480548	Unconserved	Other
-1.583477465	0.178039321942865	Unconserved	PS/tetrapyrrole_synthesis
-0.575554648	-1.47152191323831	Unconserved	Other
0.519920086	-0.681641168000584	Unconserved	Other
-0.552732884	0.212901111842244	Unconserved	Other
-0.550056816	0.0739454029518016	Unconserved	Other
-0.668793724	0.487368832624426	Unconserved	Other
-0.65541397	0.57790179648446	Unconserved	Other
-1.005728446	0.353935627820526	Unconserved	Other
-0.201082101	-0.0654775852461993	Unconserved	Other
-0.371352069	-0.094173076743966	Unconserved	Other
-0.752454045	0.94362746807703	Unconserved	PS/tetrapyrrole_synthesis
-2.994881124	-1.8164428969905	Unconserved	PS/tetrapyrrole_synthesis
0.102170379	0.719342086104501	Unconserved	Other
0.113875925	-1.31357898847627	Unconserved	Other
-0.045931494	-0.0984755109243595	Unconserved	Other
-2.684117952	0.332076755544713	Unconserved	Other
-3.251806476	1.54530267995851	Conserved	PS/tetrapyrrole_synthesis
-1.338682524	0.5272080728055	Unconserved	Other
-0.801136059	0.5272080728055	Unconserved	Other
-0.885300294	-0.787783330006701	Conserved	Other
-1.135512597	0.892120908862441	Unconserved	Other
0.264092867	-0.265689908426148	Unconserved	Other
-0.332013473	-1.09619409462132	Unconserved	Other
-0.332013473	-1.09619409462132	Unconserved	Other
-0.632770773	0.529159332649779	Unconserved	Other
